Expiry,Tenor,Fwd,-150,-100,-50,-25,0,25,50,100,150
0.25,2.0,0.0107638332259373,0.0037880279933299203,0.002525352010250912,0.0012633813447370855,0.000658877463745592,0.00023097763020732385,5.1274599152922294e-05,1.0090415632107781e-05,2.688014060486757e-07,1.1192169238484091e-08
0.25,5.0,0.0160174897353125,0.003671858272126235,0.002448016124785163,0.0012411399706405244,0.0007053675786217366,0.00031465886629585324,0.00010736776418399717,2.88437181754886e-05,1.2887822446330009e-06,4.880163888163227e-08
0.25,10.0,0.0229900298619521,0.003457677926637402,0.0023083444608303877,0.001202626877517753,0.0007247266089168681,0.00036433911073135153,0.00014993077326818827,5.083232587310894e-05,3.5306970936842576e-06,1.832746833761456e-07
0.25,15.0,0.0263322222163567,0.003338913794694553,0.002233068979766679,0.001179209672806829,0.0007243567513578586,0.0003711098939758872,0.00014888147172550817,4.509742173148987e-05,2.0307652733322057e-06,6.43104179918249e-08
0.25,30.0,0.025244792841184,0.0031283522141229082,0.0020930013545325875,0.0011096801417570254,0.000687930603703096,0.0003593958929576417,0.00015004945033812668,4.859825066717435e-05,2.7227063995283773e-06,1.1072461162126726e-07
0.5,2.0,0.011099189328091,0.0037880279933299203,0.0025254035333341254,0.0012772792647457495,0.0007315573507601156,0.0003525209002726015,0.00014756484308600987,5.7953673158970113e-05,9.170482124446915e-06,1.7574793972869381e-06
0.5,5.0,0.0168024601574037,0.00367196854302159,0.0024529923453027137,0.0013056511592033984,0.0008320541822521045,0.0004769239857546757,0.00024569793470107074,0.00011778156672666493,2.313691279733977e-05,4.293054997308197e-06
0.5,10.0,0.023535063149,0.003462202031808731,0.002336526672618943,0.0013070420197050499,0.0008781338330619702,0.0005392692094912159,0.0002991470933258052,0.00015663762094376667,3.6908944954549674e-05,8.230233460650566e-06
0.5,15.0,0.0265494792292252,0.0033468752327570034,0.0022686606021140865,0.0012857344437185595,0.0008724927260304338,0.0005398646236796378,0.0003005350026892182,0.00015009023057398088,2.8946330631997848e-05,4.836325427154345e-06
0.5,30.0,0.0253993291961977,0.00313628462510121,0.00212749520622209,0.0012104784526681713,0.000826977319531136,0.0005177194042244028,0.00029245179901143985,0.00014933980001799514,3.0904881526468894e-05,5.749607963223651e-06
0.75,2.0,0.0116024287527238,0.0037880279933299203,0.0025259725170127304,0.0013064293521488238,0.0008048180620564116,0.00045207507370881577,0.00023544690629232536,0.00011914093011417466,3.1550857505099914e-05,9.59117996853384e-06
0.75,5.0,0.0176819474963739,0.003673459155815431,0.002470709525558314,0.0013852517496399461,0.0009470393601171074,0.0006066809320321949,0.0003640558132584035,0.00021017514153842795,6.454167014184428e-05,1.9486087472430608e-05
0.75,10.0,0.0241191197646149,0.003475485170914037,0.0023797898065223526,0.001402017099074422,0.0009958008410800346,0.0006683856267691337,0.0004187704315884166,0.00025174782910586385,8.377727688581891e-05,2.733887004584071e-05
0.75,15.0,0.0267842607517269,0.0033599159467532654,0.002306939147498972,0.001369247964304226,0.0009791624940385722,0.0006601951157292294,0.0004151782907078423,0.00024500311222010684,7.385922089704779e-05,2.0594534169808822e-05
0.75,30.0,0.0255670295264503,0.0031514287103051185,0.00216975656779122,0.0012961477772566693,0.0009315191460105663,0.000630721758167194,0.00039933677123894773,0.00023760048128130843,7.366771196306916e-05,2.172591336680327e-05
1.0,2.0,0.0121935636676584,0.0037880279933299203,0.0025269249106178704,0.0013386115124972705,0.000866434629587036,0.0005482997141751385,0.0003310068096799658,0.00020538741476978575,8.583732232970223e-05,4.038523308293793e-05
1.0,5.0,0.0186232260931809,0.003677530581851096,0.0024977273413652524,0.001466891295015747,0.0010554948745232528,0.0007301423540370369,0.0004852015420001336,0.0003135509741907511,0.00012529937254610203,5.028805832794595e-05
1.0,10.0,0.0247247202595493,0.003494254429794286,0.0024278800122348276,0.0014932818510515933,0.001105695167595196,0.0007852357094192701,0.0005316541739436107,0.0003466419748481954,0.00013769590612638225,5.294550742657926e-05
1.0,15.0,0.0270263314132533,0.0033792930145899276,0.0023538891966692847,0.001454890307389754,0.0010807856526838038,0.0007695759873821089,0.0005211565447226235,0.00033903850095836095,0.0001311700555917803,4.7742335777375906e-05
1.0,30.0,0.0257401621025641,0.0031733106327071392,0.00221911458714366,0.0013802738099899894,0.0010285600391944348,0.0007357034532600673,0.0004991614023411044,0.00032363799569634064,0.00012249791678203243,4.397639479957228e-05
2.0,2.0,0.0161959844231264,0.0037880279933299203,0.002908683943917422,0.001773464062117331,0.001314270704975333,0.0010275045719658868,0.0008022026778782376,0.0006208901306161429,0.0003940938276881261,0.0002647583676005247
2.0,5.0,0.0223841862550879,0.0037647729304814553,0.002713507569839603,0.001827187726780407,0.0014620391649290637,0.0011550968465806148,0.0008982845577422283,0.0006923933516747316,0.0004063841639050092,0.00024044521412653122
2.0,10.0,0.0271933226970671,0.0036090199224454926,0.002634287534002678,0.0017941451420850456,0.0014392347019306054,0.0011389636361779152,0.000876474426810589,0.0006656153767769367,0.00037597964900054674,0.0002102789805013646
2.0,15.0,0.027948737125188,0.003490830319970799,0.0025464509813795636,0.0017275264661249237,0.0013801609690734387,0.0010813000652723074,0.0008293687875419313,0.000625834713153627,0.0003493714288182426,0.00019558388927630314
2.0,30.0,0.0263998413140275,0.00327422558772125,0.002394355329603274,0.0016315956083839036,0.0013075909670035779,0.0010292628579552795,0.0007919371865106366,0.000599855964599299,0.0003352763869366952,0.00018749033637526828
5.0,2.0,0.0284363638504981,0.004266500341764941,0.0033322796129543297,0.002534802285874037,0.0021966318641225093,0.001915425063310001,0.0016528953976364259,0.0014289269421334408,0.0010847160949894472,0.0008457789571686837
5.0,5.0,0.0305387253564752,0.004167645215268374,0.0032638800451913214,0.0024849532693762126,0.0021499991314206154,0.0018473353417795416,0.0015934377538177628,0.001365035642822675,0.001000139439302425,0.0007394116753075258
5.0,10.0,0.0318835490704834,0.0039594370736200386,0.003090473090302701,0.0023325996927731226,0.0020038190395444883,0.0017154004680319287,0.0014573817222248411,0.0012349569385827625,0.0008887856036898142,0.000648791060110093
5.0,15.0,0.0292443456593043,0.003746844307933908,0.0028885036847765316,0.002140155895636378,0.0018175812791691606,0.001540241944249171,0.0012906977951465724,0.0010819761238267296,0.0007667630007412259,0.0005614607221292786
5.0,30.0,0.0272907584750467,0.0035103871100820474,0.002714112218544312,0.0020162309002534212,0.0017137150080391672,0.0014568515381651512,0.0012187378398816223,0.0010221544839171064,0.0007262759180612685,0.0005304655927570838
10.0,2.0,0.0338734710965737,0.0047395500422826335,0.0038773120049614695,0.0031224795819624006,0.0027844826194749254,0.002471841483035669,0.002192047816317781,0.0019441881821504277,0.0015399852377535883,0.0012375006934090891
10.0,5.0,0.033460206787028,0.0046093667276017845,0.003744606262584791,0.002977120861215644,0.0026368682441276934,0.0023291342228914766,0.0020544900469983965,0.0018122558105496502,0.0014200496949430565,0.0011311252722793325
10.0,10.0,0.0310092021008827,0.00428146940649676,0.0034794008129071267,0.002768635774915776,0.002454681059096628,0.0021711108486027315,0.0019169705503038034,0.0016934869840781555,0.0013300076914420846,0.0010594002609520656
10.0,15.0,0.0270809467677389,0.003908521036148279,0.00312169466238632,0.0024329753501314134,0.0021313216066857796,0.0018749839946125963,0.0016324997740730864,0.0014201946088850412,0.0010814773506844625,0.0008359274133862004
10.0,30.0,0.0259541153585943,0.003617846840441295,0.002879388165663223,0.0022349894141566024,0.0019546069559533237,0.0017106654036703824,0.0014855213569115783,0.0012911137492806956,0.0009813954907262686,0.0007604134851567863
